IO Id,IO Name,Agency Name,Advertiser Name,Currency Type,Currency Exchange Rate,Ad Relevance,Booking Date,TA Rebate,IO Type,Agency Parent Company,Agency Type,ClientName
427617,C_AWA_MAS_BAS_DIS_2014_Q3,Moxie Interactive,"Verizon Communications, Inc.",USD,1,Telecoms,,0,,Publicis Groupe,Holding Company,
427627,Reckitt - IRIS 2.0,Lin Digital,Reckitt Benckiser,USD,1,Consumer Goods,,0,,Independent,Independent,
427637,C_HAC_HIS_BAS_DIS_2014_Q3-Q4,Moxie Interactive,"Verizon Communications, Inc.",USD,1,Telecoms,,0,,Publicis Groupe,Holding Company,
427647,Reckitt - SXI-V-12,Lin Digital,Reckitt Benckiser,USD,1,Consumer Goods,,0,,Independent,Independent,
427657,Mediacom New York - Allergan Botox Cosmetic Display Q3,Xaxis,"Allergan, Inc",USD,1,Health,,0,,WPP,Holding Company,
427667,Six Flags 1.FFV.July,Initiative Media,Six Flags Entertainment Corp.,MXN,12.86,Entertainment,,0,,Interpublic,Holding Company,
427677,MD Anderson Julio.Appsnack,Neo Ogilvy,MD Anderson Cancer Center,MXN,12.86,Health,,0,,WPP,Holding Company,
427687,MD Anderson Julio.TF,Neo Ogilvy,MD Anderson Cancer Center,MXN,12.86,Health,,0,,WPP,Holding Company,
427697,ATT_MBL_RTL_GM_2H_Network_2014_DIS_(ATM NAT 81),MEC,AT&T Inc.,USD,1,Telecoms,,0,,WPP,Holding Company,
427707,ATT_MBL_ECM_2HBAU_2014_DIS_X_X_X_(ATE MEC 000),MEC,AT&T Inc.,USD,1,Telecoms,,0,,WPP,Holding Company,
427717,TF/DR/Mitchells/Citibank/JulySept2014,Mitchell & Partners,Citigroup Inc.,AUD,1.08,Finance,,0,,Aegis,Holding Company,
427727,TF Energy Australia BAU Aug-Dec14,iProspect,CLP Group,AUD,1.08,Energy,,0,,Aegis,Holding Company,
427737,Mindshare New York - Volvo-2014 Tier 1,Xaxis,Volvo,USD,1,Automotive,,0,,WPP,Holding Company,
427747,Ado Moose Toys Hexbugs Sep-Oct14,Universal McCann,Moose Enterprise,AUD,1.08,Retail,,0,,Interpublic,Holding Company,
427757,Ado Moose Toys Mutant Mania Sep-Oct14,Universal McCann,Moose Enterprise,AUD,1.08,Retail,,0,,Interpublic,Holding Company,
427767,Ado Moose Toys Tekno Puppy Oct-Nov14,Universal McCann,Moose Enterprise,AUD,1.08,Retail,,0,,Interpublic,Holding Company,
427777,Orcon Q3 July - Sept 14.Display,Contagion,Orcon Internet Limited,NZD,1.18,Telecoms,,0,,Independent,Independent,
427787,P&G - PANTENE GC SUSTENANCE - JULY 2014,MediaCom,Procter & Gamble Company,INR,59.23,Consumer Goods,,0,,WPP,Holding Company,
427797,P&G - H&S MMS CAMPAIGN - JULY 2014,MediaCom,Procter & Gamble Company,INR,60.22,Consumer Goods,,0,,WPP,Holding Company,
